rank,index,latitude,longitude,reward,heat_vulnerability,population_impact,accessibility,equity,coverage_efficiency
18,887,34.06906193229861,-117.97794436309914,0.7003485542681603,0.7930788712123632,0.40375435743803456,0.7086879582468553,0.7701944416486421,1.0
19,378,33.85196667800531,-118.21439032883178,0.6854803716978898,0.8142847495737288,0.47076314033889677,0.5460526059959053,0.672546889086498,1.0
20,226,33.78683810171732,-118.26693387677236,0.6496358429419183,0.6875986294583789,0.49724769825169457,0.4484805239905535,0.7826154631331935,1.0
21,427,33.87367620343464,-118.24066210280208,0.7208021422704151,0.7723650608078465,0.5574481537347301,0.6066472892676639,0.8007682610922447,1.0
22,228,33.78683810171732,-118.21439032883178,0.7119759553684492,0.753631860183899,0.4688995940202855,0.510087401002346,1.0297786376577418,1.0
23,634,33.96051430515196,-118.05675968501002,0.69985924160065,0.8304964836701041,0.4580909403325254,0.6135709930708295,0.6841805884823858,1.0
24,583,33.93880477972263,-118.08303145898032,0.6775164313430302,0.7723151266211131,0.4831129535149701,0.6132502872278349,0.6296023704181527,1.0
25,1172,34.19931908487459,-118.37202097265354,0.6690316050669928,0.7503417340083721,0.5196199229906208,0.36095685147522794,0.815756597967488,1.0
26,532,33.9170952542933,-118.1093032329506,0.6981736206176717,0.7034144497534505,0.5772726296879039,0.6667175215721162,0.717685183641138,1.0
27,731,34.00393335601062,-118.1355750069209,0.6852226967290902,0.8614212936564748,0.4778532092242148,0.4528262578960986,0.642253353059037,1.0
28,680,33.98222383058129,-118.1618467808912,0.692483222028052,0.8592329433381161,0.4482806746171403,0.435191726322185,0.7626850950473248,1.0
29,480,33.89538572886397,-118.1618467808912,0.6865205702974236,0.7509328493445314,0.4672662988153735,0.5844622599282093,0.7947210622250863,1.0
30,681,33.98222383058129,-118.1355750069209,0.6964450479941638,0.8592329433381161,0.43067677125226167,0.4909437383710611,0.7626850950473248,1.0
31,574,33.93880477972263,-118.31947742471296,0.6302431614090036,0.7329047915942104,0.49491576552875194,0.3642161178840736,0.6357675019082063,1.0
32,430,33.87367620343464,-118.1618467808912,0.7168688629172902,0.8342791417541742,0.5076277736503462,0.6067597366088993,0.7130017293293859,1.0
33,627,33.96051430515196,-118.24066210280208,0.7069200405832197,0.7724460421922,0.6022888287982895,0.4010981587013056,0.8388466320745432,1.0
34,433,33.87367620343464,-118.08303145898032,0.6673051161877502,0.8034251600017563,0.36130885400853296,0.6432149315211374,0.6619790463788778,1.0
35,739,34.00393335601062,-117.92540081515855,0.6826326906818,0.8507975771291862,0.3500149860051245,0.6111170737883815,0.7045482074469765,1.0
36,431,33.87367620343464,-118.1355750069209,0.7122742089891201,0.783029677030107,0.47673881688079217,0.6394692419587584,0.8207248767638058,1.0
37,527,33.9170952542933,-118.24066210280208,0.7010927572396356,0.7712452812416593,0.6009657631996372,0.44575386429967173,0.7603492557346319,1.0
38,479,33.89538572886397,-118.18811855486148,0.7080850568280913,0.7923621553696896,0.46795847765029785,0.6003226081281436,0.8248019454460268,1.0
39,530,33.9170952542933,-118.1618467808912,0.6852369150812697,0.7543135294836871,0.5674755185068918,0.49748493504604346,0.6982370658556655,1.0
40,793,34.02564288143995,-117.82031371927738,0.6453806729218269,0.8489909558886675,0.27994057040023934,0.6331904858262469,0.5551341525786435,1.0
41,679,33.98222383058129,-118.18811855486148,0.6814633402905652,0.803969803329487,0.44345810022846854,0.40690795987140904,0.8544879339161087,1.0
42,1219,34.22102861030392,-118.45083629456444,0.6589510413740087,0.7607167000633683,0.45438874371804416,0.3724342244136126,0.8215858450685131,1.0
