latitude,longitude,dist_to_ac_1,dist_to_ac_3,dist_to_hydro_1,dist_to_hydro_3,install_year_hydro_3,dist_to_busline_1,dist_to_busline_3,dist_to_busstop_1,dist_to_busstop_3,dist_to_metroline_1,dist_to_metroline_3,dist_to_metrostop_1,dist_to_metrostop_3,lashade_ua_pop,lashade_cbg_pop,lashade_acs_pop,lashade_biome,lashade_tc_goal,lashade_treecanopy,lashade_tc_gap,lashade_pctpoc,lashade_pctpov,lashade_unemplrate,lashade_dep_ratio,lashade_dep_perc,lashade_linguistic,lashade_health_nor,lashade_temp_diff,lashade_tes,lashade_holc_grade,lashade_child_perc,lashade_seniorperc,lashade_ej_disadva,lashade_rank,lashade_rankgrpsz,lashade_bld1200,lashade_veg1200,lashade_bld1500,lashade_veg1500,lashade_bld1800,lashade_veg1800,lashade_tot1200,lashade_tot1500,lashade_tot1800,dist_to_venue1,closest_venue_sport,dist_to_venue3,cva_population,cva_children,cva_older_adults,cva_older_adults_living_alone,cva_limited_english,cva_no_high_school_diploma,cva_female,cva_female_householder,cva_disability,cva_no_health_insurance,cva_living_in_group_quarters,cva_mobile_homes,cva_rent_burden,cva_renters,cva_median_income,cva_poverty,cva_households_without_vehicle_acce,cva_outdoor_workers,cva_unemployed,cva_foreign_born,cva_no_internet_subscription,cva_voter_turnout_rate,cva_sovi_score,cva_asthma,cva_cardiovascular_disease,cva_transit_access,pm25,pm25_percentile,tree_percent_w,urban_heat_idx,urban_heat_idx_percentile,dist_to_vacant_park_1,dist_to_vacant_park_3,dist_to_vacant_street_1,dist_to_vacant_street_3
34.481542915455876,-118.18811855486149,27.34627340456702,28.561725665006076,28.417637814671064,30.34833800086399,2020,26.812447612697635,27.289445083899565,26.75653773280379,26.805612579123117,36.79031103560555,37.410769192343935,36.947882723503305,37.07716354049619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.55092313468569,Football (Soccer),38.83706920183433,4687.0,22.2,16.4,7.8,5.4,9.9,47.0,8.4,11.5,4.4,4.8,10.2,46.2,10.0,111618.0,11.1,3.5,11.0,6.7,9.9,10.4,74.0,-0.43,31.1,8.7,0.0,9.841317579,0.526957637997433,0.0,,,26.806291121578553,26.813094934899954,24.59851132990851,24.658824683543504
34.481542915455876,-118.1618467808912,28.512212150113108,29.97688520786731,29.918388120696658,31.92636862309217,2020,28.115487822101024,28.76399849025812,27.790472160714284,27.8422253852623,36.605056070668056,37.67176751152828,36.684358619214606,36.812608810292694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.502683818248386,Football (Soccer),38.90865981786083,4687.0,22.2,16.4,7.8,5.4,9.9,47.0,8.4,11.5,4.4,4.8,10.2,46.2,10.0,111618.0,11.1,3.5,11.0,6.7,9.9,10.4,74.0,-0.43,31.1,8.7,0.0,9.841317579,0.526957637997433,0.0,,,27.828905058589815,27.836977079463566,25.66168684581895,25.700305474592998
34.481542915455876,-118.1355750069209,29.828722687011258,31.513877994604865,31.533072024194308,33.60477231336907,2020,29.10819910096859,30.049515896608963,28.989437617075385,29.04336998259804,36.54570815509074,38.05294322178332,36.56155872660095,36.70559923498066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.61889485989814,Football (Soccer),39.11870322583463,4687.0,22.2,16.4,7.8,5.4,9.9,47.0,8.4,11.5,4.4,4.8,10.2,46.2,10.0,111618.0,11.1,3.5,11.0,6.7,9.9,10.4,74.0,-0.43,31.1,8.7,0.0,9.841317579,0.526957637997433,0.0,,,28.99431708208286,28.99753889739792,26.900447938818775,26.918951983091898
34.481542915455876,-118.10930323295061,31.276796995648613,33.15598450234461,33.2450926144202,35.36920370979317,2020,30.47881331454535,31.52304262034299,30.24251449958627,30.253285925139394,36.501112213280685,38.47757841632018,36.51227329653254,36.75425652810393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.897959181570315,Football (Soccer),39.46592632222804,333.0,14.1,22.8,9.8,0.0,12.2,52.2,8.3,14.1,8.1,0.0,7.5,80.0,15.0,85417.0,15.3,3.0,18.4,5.4,8.4,28.6,71.5,-1.15,93.0,11.9,0.0,,,0.0,,,30.235322690612524,30.238395156100975,28.287173816226883,28.29188133201444
34.481542915455876,-118.08303145898032,32.839035236573096,34.88850182755812,35.0401854344587,37.12090938790697,2021,31.834070611506895,32.46152284008756,31.53206525712027,31.54341716281631,36.51076408222607,38.96866306265304,36.622924172573775,36.83233300583864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.33612478028192,Football (Soccer),39.94795622674518,333.0,14.1,22.8,9.8,0.0,12.2,52.2,8.3,14.1,8.1,0.0,7.5,80.0,15.0,85417.0,15.3,3.0,18.4,5.4,8.4,28.6,71.5,-1.15,93.0,11.9,0.0,,,0.0,,,31.612641752577556,31.61493266004007,29.784111049216495,29.797776997432447
34.481542915455876,-118.05675968501002,34.49993196097545,36.69870332100683,36.90623064044203,38.63611040187465,2021,33.0591362947113,33.37060975942567,32.93967883389723,32.94080083401013,36.6629295028225,39.5820550668793,36.892072278284594,37.06789545475338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.92772861772683,Football (Soccer),40.56136701928491,173.0,7.5,10.4,0.0,0.0,12.9,40.5,0.0,6.6,0.0,20.8,0.0,54.3,0.0,119712.0,0.0,0.0,0.0,6.1,1.7,0.0,69.6,-9.97,23.9,4.5,0.0,,,0.0,,,33.10926695750437,33.11067875536059,31.395845745408668,31.41752617252861
34.481542915455876,-118.03048791103973,36.245927122110885,38.57568946318566,38.83300102173637,40.23223134114225,2021,34.41058253258976,34.41991920794993,34.38959891248621,34.39208976969118,36.91363396098443,40.288309401194766,37.316288213950905,37.40195975922064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.66554129377807,Football (Soccer),41.301767284008676,173.0,7.5,10.4,0.0,0.0,12.9,40.5,0.0,6.6,0.0,20.8,0.0,54.3,0.0,119712.0,0.0,0.0,0.0,6.1,1.7,0.0,69.6,-9.97,23.9,4.5,0.0,,,0.0,,,34.70920082133085,34.710375857150346,33.10561543200087,33.13443713568419
34.481542915455876,-118.00421613706943,38.06531242325369,40.510187733659485,40.811896676144286,41.90114469190808,2021,35.04513876196621,35.280230666911365,35.04432987275471,35.29550800007363,37.05694998241917,40.942761960926305,37.63974126445063,37.74300098547428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1402616247059,Equestrian,41.88867437749611,173.0,7.5,10.4,0.0,0.0,12.9,40.5,0.0,6.6,0.0,20.8,0.0,54.3,0.0,119712.0,0.0,0.0,0.0,6.1,1.7,0.0,69.6,-9.97,23.9,4.5,0.0,,,0.0,,,36.397797694257086,36.400321344304466,34.899014209359876,34.93418787129679
34.481542915455876,-117.97794436309914,39.94806161839869,42.225558563150436,42.83569394057154,43.48256014293607,2021,35.804988113531714,35.91487298680798,35.80711576745599,36.02210095846597,37.35379230592233,41.71994995287407,37.864485323002455,38.23314035713636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.45477097855021,Equestrian,41.975858572631886,4380.0,23.1,20.5,10.9,6.2,23.2,52.9,16.0,16.5,10.8,0.4,6.7,54.1,26.1,50732.0,22.6,4.3,18.5,8.1,20.2,22.9,72.8,1.29,50.1,9.5,0.0,8.595110887,0.745571245186136,0.0,,,38.1134691696039,38.13938887830281,36.76380530976501,36.804628205402395
34.481542915455876,-117.95167258912885,41.88563088531649,43.97294899517309,44.816739953501425,44.98727226900775,2021,36.65682085870669,36.65682085870669,36.64898987388956,36.68319548052137,37.803869195049074,42.6161685890551,38.24112502655669,38.48250741622844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.917284213548456,Equestrian,42.18571552509358,4380.0,23.1,20.5,10.9,6.2,23.2,52.9,16.0,16.5,10.8,0.4,6.7,54.1,26.1,50732.0,22.6,4.3,18.5,8.1,20.2,22.9,72.8,1.29,50.1,9.5,0.0,8.595110887,0.745571245186136,0.0,,,39.874343355346895,39.899269684057195,38.68966694584702,38.72440567811408
34.481542915455876,-117.92540081515855,43.87075725395727,45.778364695135544,46.14976842013877,46.56578524641234,2021,37.3433631781115,37.3433631781115,37.33715329478673,37.39459782559114,38.30831442615954,43.52422868275181,38.36617836251858,38.505296165817704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.52260559536342,Equestrian,42.51541180906868,4380.0,23.1,20.5,10.9,6.2,23.2,52.9,16.0,16.5,10.8,0.4,6.7,54.1,26.1,50732.0,22.6,4.3,18.5,8.1,20.2,22.9,72.8,1.29,50.1,9.5,0.0,8.595110887,0.745571245186136,0.0,,,41.70097885071868,41.72495839249136,40.62348539602318,40.65575112645376
34.481542915455876,-117.89912904118826,45.89727026505225,47.43355837272943,47.568453304872556,48.211474425277615,2021,38.170979310716035,38.170979310716035,38.16634886979342,38.23108803970529,38.22704141584129,43.79891629650643,38.2463032588303,38.6067144231981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.264294794599465,Equestrian,42.961682102456535,4380.0,23.1,20.5,10.9,6.2,23.2,52.9,16.0,16.5,10.8,0.4,6.7,54.1,26.1,50732.0,22.6,4.3,18.5,8.1,20.2,22.9,72.8,1.29,50.1,9.5,0.0,8.595110887,0.745571245186136,0.0,,,43.585108230058715,43.60819038546165,42.525790551803325,42.56539169323647
34.481542915455876,-117.87285726721797,47.959923787606535,49.07188236286809,49.06536502395417,49.91820760486567,2021,39.13071907785767,39.13071907785767,39.12761127731497,39.19909085319642,38.25095992693219,44.17212492452953,38.27913124511248,38.7452294320316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.13497603480673,Equestrian,43.52093849300969,4380.0,23.1,20.5,10.9,6.2,23.2,52.9,16.0,16.5,10.8,0.4,6.7,54.1,26.1,50732.0,22.6,4.3,18.5,8.1,20.2,22.9,72.8,1.29,50.1,9.5,0.0,8.595110887,0.745571245186136,0.0,,,45.51959264109484,45.5418275675018,44.478067216315026,44.51698798137567
34.481542915455876,-117.84658549324767,50.05425001787347,50.770464969904786,50.633565951027826,51.68034979646945,2021,40.21312361066526,40.21312361066526,40.211470326833265,40.28912864362158,38.42735032128137,44.674427050438624,38.46427134002523,39.03318493502614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.12665192660581,Equestrian,44.189357256838065,4380.0,23.1,20.5,10.9,6.2,23.2,52.9,16.0,16.5,10.8,0.4,6.7,54.1,26.1,50732.0,22.6,4.3,18.5,8.1,20.2,22.9,72.8,1.29,50.1,9.5,0.0,8.595110887,0.745571245186136,0.0,,,47.498279862735444,47.51971706488266,46.47401809689791,46.50962213617587
34.481542915455876,-117.82031371927738,52.176435001288425,52.52379909118877,52.26663952582628,53.4927541242303,2021,41.408574724661584,41.408574724661584,41.408300194939414,41.49158495924089,38.7541307043917,45.30281049370598,38.7995432258302,39.467347109419585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.230996718490495,Equestrian,44.96294169414899,4380.0,23.1,20.5,10.9,6.2,23.2,52.9,16.0,16.5,10.8,0.4,6.7,54.1,26.1,50732.0,22.6,4.3,18.5,8.1,20.2,22.9,72.8,1.29,50.1,9.5,0.0,8.595110887,0.745571245186136,0.0,,,49.5158709326745,49.536558335523864,48.50825222794124,48.539409828401894
34.481542915455876,-117.79404194530709,54.300210828129515,54.326866931953475,53.9586958045187,55.350742448695705,2021,42.707580353279724,42.707580353279724,42.708604464492794,42.79698543436742,39.22735536312519,46.05317492513698,39.281102856105704,40.04300046283185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6748436617294,Cricket,45.837563401160956,4380.0,23.1,20.5,10.9,6.2,23.2,52.9,16.0,16.5,10.8,0.4,6.7,54.1,26.1,50732.0,22.6,4.3,18.5,8.1,20.2,22.9,72.8,1.29,50.1,9.5,0.0,8.595110887,0.745571245186136,0.0,,,51.56779958470721,51.58778295905964,50.5761502960711,50.60320240798239
34.481542915455876,-117.76777017133679,55.98740620674393,56.175113596111,55.70436002428822,57.25007899024433,2021,44.10099069108081,44.1009906910808,44.103231733575,44.19620944630367,39.84104719744551,46.920487001151976,39.90365432368557,40.754189260538304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.57355222635601,Cricket,46.80898717371726,4380.0,23.1,20.5,10.9,6.2,23.2,52.9,16.0,16.5,10.8,0.4,6.7,54.1,26.1,50732.0,22.6,4.3,18.5,8.1,20.2,22.9,72.8,1.29,50.1,9.5,0.0,8.595110887,0.745571245186136,0.0,,,53.65012595873966,53.66944859863465,52.673747522155885,52.697004704221456
34.481542915455876,-117.7414983973665,57.673007768967004,58.06441645111719,57.498749663852664,59.17577034310176,2021,45.58014845907729,45.58014845907729,45.583525303168194,45.68063636309458,40.589761628905286,47.89897292256655,40.66072197608866,41.59399816889203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6064178637974,Cricket,47.87288618415986,4380.0,23.1,20.5,10.9,6.2,23.2,52.9,16.0,16.5,10.8,0.4,6.7,54.1,26.1,50732.0,22.6,4.3,18.5,8.1,20.2,22.9,72.8,1.29,50.1,9.5,0.0,8.595110887,0.745571245186136,0.0,,,55.62007310595855,55.63288676718032,54.79763331997849,54.81737798035689
34.481542915455876,-117.7152266233962,59.4092678867172,59.991052312633315,59.337444341051054,60.97457211582869,2020,47.13698199519565,47.13698199519565,47.14141571471488,47.2422353065852,41.4661853402162,48.98232871276142,41.5449526081744,42.55484438425798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.773138390486416,Cricket,49.024854070316735,4380.0,23.1,20.5,10.9,6.2,23.2,52.9,16.0,16.5,10.8,0.4,6.7,54.1,26.1,50732.0,22.6,4.3,18.5,8.1,20.2,22.9,72.8,1.29,50.1,9.5,0.0,8.595110887,0.745571245186136,0.0,,,57.42730378193754,57.43933624739331,56.94486615848863,56.96135491364341
34.481542915455876,-117.68895484942591,61.191874438822694,61.951664025654004,61.2164518363061,62.81240099162095,2020,48.76405217450364,48.76405217450364,48.7694671824348,48.84869266211495,42.46241125652791,50.16392927300171,42.54841889335764,43.62875713106252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.072194744224,Cricket,50.26041935175741,4380.0,23.1,20.5,10.9,6.2,23.2,52.9,16.0,16.5,10.8,0.4,6.7,54.1,26.1,50732.0,22.6,4.3,18.5,8.1,20.2,22.9,72.8,1.29,50.1,9.5,0.0,8.595110887,0.745571245186136,0.0,,,59.27809901691104,59.28910654082955,59.02181586022425,59.074878386980835
34.481542915455876,-117.66268307545562,63.01689432421494,63.94322759607638,63.13217263227654,64.68837229237567,2020,50.45456432978752,50.45456432978752,50.46088910870055,50.50338513810033,43.570222315867,51.43702081895753,43.66290067445693,44.807626729028726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.50091900421609,Cricket,51.575065592241884,4380.0,23.1,20.5,10.9,6.2,23.2,52.9,16.0,16.5,10.8,0.4,6.7,54.1,26.1,50732.0,22.6,4.3,18.5,8.1,20.2,22.9,72.8,1.29,50.1,9.5,0.0,8.595110887,0.745571245186136,0.0,,,61.168504379854525,61.178542792095875,60.91243731694101,60.98092912270633
34.503252440885205,-118.95,45.194968036886344,45.67930041988103,43.48824014410539,45.677013447820826,2021,37.00662370141082,38.59820577251809,37.03298096415352,37.086354269638974,64.24778480921293,64.25057795778388,64.50477876742315,66.84348043333192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.72361870896491,Basketball (3x3),62.545014043631966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.49736245511336,40.50274249651813,40.517635681942636,40.733999073650146
