latitude,longitude,dist_to_ac_1,install_year_hydro_3,dist_to_busline_1,dist_to_metroline_1,lashade_ua_pop,lashade_cbg_pop,lashade_acs_pop,lashade_biome,lashade_tc_goal,lashade_treecanopy,lashade_tc_gap,lashade_pctpoc,lashade_pctpov,lashade_unemplrate,lashade_dep_ratio,lashade_dep_perc,lashade_linguistic,lashade_health_nor,lashade_temp_diff,lashade_tes,lashade_holc_grade,lashade_child_perc,lashade_seniorperc,lashade_ej_disadva,lashade_rank,lashade_rankgrpsz,lashade_bld1200,lashade_veg1200,lashade_bld1500,lashade_bld1800,lashade_veg1800,lashade_tot1800,closest_venue_sport,cva_population,cva_children,cva_older_adults,cva_older_adults_living_alone,cva_limited_english,cva_no_high_school_diploma,cva_female,cva_female_householder,cva_disability,cva_no_health_insurance,cva_living_in_group_quarters,cva_mobile_homes,cva_rent_burden,cva_renters,cva_median_income,cva_poverty,cva_households_without_vehicle_acce,cva_outdoor_workers,cva_unemployed,cva_foreign_born,cva_no_internet_subscription,cva_voter_turnout_rate,cva_sovi_score,cva_asthma,cva_cardiovascular_disease,cva_transit_access,pm25,tree_percent_w,canopy_gap,canopy_percent_of_goal,avg_transport_access
34.676928644319844,-117.68895484942593,74.18692574390393,2021,66.1982784084748,62.681404805843904,359559.0,2343.0,2341.0,Desert,0.15,0.1029,0.0471,0.917983767620675,0.256727894062367,0.053949903660886,0.503532434168272,0.334899615548911,0.147977573087705,0.263523312550827,-6.09,92.0,C,0.221272960273387,0.113626655275523,Yes,25.0,80.0,0.0005,0.1682,0.0304,0.2184,0.2623,0.4806,Cricket,588.0,19.3,28.2,28.5,12.1,43.1,53.2,6.6,21.1,9.9,0.0,19.1,55.3,36.7,25938.0,32.9,16.8,18.5,5.2,24.0,44.5,64.0,4.13,108.4,13.5,0.0,9.867044703,0.0,0.04709999999999999,0.6859954266971554,67.07818114968599
34.676928644319844,-117.66268307545562,76.09241488375326,2021,67.45036465959707,63.435356734080734,359559.0,2343.0,2341.0,Desert,0.15,0.1029,0.0471,0.917983767620675,0.256727894062367,0.053949903660886,0.503532434168272,0.334899615548911,0.147977573087705,0.263523312550827,-6.09,92.0,C,0.221272960273387,0.113626655275523,Yes,25.0,80.0,0.0005,0.1682,0.0304,0.2184,0.2623,0.4806,Cricket,3494.0,23.1,16.4,10.4,4.1,12.9,50.3,8.5,10.2,6.5,0.6,2.0,53.7,23.6,75313.0,14.1,4.2,5.1,5.6,20.0,12.4,72.2,-0.93,34.2,7.8,0.0,9.867044703,0.0,0.04709999999999999,0.6859954266971554,68.35276672244139
34.698638169749174,-118.95,63.43291897134144,2021,58.27764067814584,78.6751901038961,278078.0,2215.0,2306.0,Mediterranean,0.3,0.1786,0.1214,0.453599306157849,0.085862966175195,0.046090534979424,0.545576407506702,0.352992194275802,0.011079730610471,0.325382018479033,0.27,84.0,C,0.263660017346054,0.089332176929748,Yes,2.0,10.0,0.0003,0.0675,0.0259,0.5063,0.074,0.5796,Basketball (3x3),3494.0,23.1,16.4,10.4,4.1,12.9,50.3,8.5,10.2,6.5,0.6,2.0,53.7,23.6,75313.0,14.1,4.2,5.1,5.6,20.0,12.4,72.2,-0.93,34.2,7.8,0.0,9.867044703,0.0,0.12139999999999998,0.5953313488955038,64.70672387581111
34.698638169749174,-118.92372822602972,61.74128737677831,2021,57.00516652505249,77.08336584986301,278078.0,2215.0,2306.0,Mediterranean,0.3,0.1786,0.1214,0.453599306157849,0.085862966175195,0.046090534979424,0.545576407506702,0.352992194275802,0.011079730610471,0.325382018479033,0.27,84.0,C,0.263660017346054,0.089332176929748,Yes,2.0,10.0,0.0003,0.0675,0.0259,0.5063,0.074,0.5796,Basketball (3x3),3494.0,23.1,16.4,10.4,4.1,12.9,50.3,8.5,10.2,6.5,0.6,2.0,53.7,23.6,75313.0,14.1,4.2,5.1,5.6,20.0,12.4,72.2,-0.93,34.2,7.8,0.0,9.867044703,0.0,0.12139999999999998,0.5953313488955038,63.272878921986184
34.698638169749174,-118.89745645205942,60.048469390383886,2021,55.753198846846736,75.53519722252254,278078.0,2215.0,2306.0,Mediterranean,0.3,0.1786,0.1214,0.453599306157849,0.085862966175195,0.046090534979424,0.545576407506702,0.352992194275802,0.011079730610471,0.325382018479033,0.27,84.0,D,0.263660017346054,0.089332176929748,Yes,2.0,10.0,0.0003,0.0675,0.0259,0.5063,0.074,0.5796,Basketball (3x3),3494.0,23.1,16.4,10.4,4.1,12.9,50.3,8.5,10.2,6.5,0.6,2.0,53.7,23.6,75313.0,14.1,4.2,5.1,5.6,20.0,12.4,72.2,-0.93,34.2,7.8,0.0,9.867044703,0.0,0.12139999999999998,0.5953313488955038,61.87509713192711
34.698638169749174,-118.87118467808912,58.4062744619011,2021,54.18587155525347,74.03342312681431,278078.0,2215.0,2306.0,Mediterranean,0.3,0.1786,0.1214,0.453599306157849,0.085862966175195,0.046090534979424,0.545576407506702,0.352992194275802,0.011079730610471,0.325382018479033,0.27,84.0,D,0.263660017346054,0.089332176929748,Yes,2.0,10.0,0.0003,0.0675,0.0259,0.5063,0.074,0.5796,Basketball (3x3),3494.0,23.1,16.4,10.4,4.1,12.9,50.3,8.5,10.2,6.5,0.6,2.0,53.7,23.6,75313.0,14.1,4.2,5.1,5.6,20.0,12.4,72.2,-0.93,34.2,7.8,0.0,9.867044703,0.0,0.12139999999999998,0.5953313488955038,60.42071910146908
34.698638169749174,-118.84491290411884,56.81909222469132,2021,52.67761063116673,72.58092357590199,278078.0,2215.0,2306.0,Mediterranean,0.3,0.1786,0.1214,0.453599306157849,0.085862966175195,0.046090534979424,0.545576407506702,0.352992194275802,0.011079730610471,0.325382018479033,0.27,84.0,D,0.263660017346054,0.089332176929748,Yes,2.0,10.0,0.0003,0.0675,0.0259,0.5063,0.074,0.5796,Basketball (3x3),3494.0,23.1,16.4,10.4,4.1,12.9,50.3,8.5,10.2,6.5,0.6,2.0,53.7,23.6,75313.0,14.1,4.2,5.1,5.6,20.0,12.4,72.2,-0.93,34.2,7.8,0.0,9.867044703,0.0,0.12139999999999998,0.5953313488955038,59.030836684836224
34.698638169749174,-118.81864113014854,55.29166051606306,2021,51.242847342194814,71.1807151940306,278078.0,2215.0,2306.0,Mediterranean,0.3,0.1786,0.1214,0.453599306157849,0.085862966175195,0.046090534979424,0.545576407506702,0.352992194275802,0.011079730610471,0.325382018479033,0.27,84.0,D,0.263660017346054,0.089332176929748,Yes,2.0,10.0,0.0003,0.0675,0.0259,0.5063,0.074,0.5796,Basketball (3x3),1840.0,25.2,20.7,6.3,1.2,19.0,52.7,5.1,13.2,10.4,0.8,21.0,57.6,20.6,59911.0,12.8,0.0,14.8,5.0,9.5,27.8,79.2,-0.93,34.9,7.8,0.0,5.78980373,0.0,0.12139999999999998,0.5953313488955038,57.71026137452342
34.698638169749174,-118.79236935617824,53.82906605383545,2021,49.88193622433401,69.83594345761718,278078.0,2215.0,2306.0,Mediterranean,0.3,0.1786,0.1214,0.453599306157849,0.085862966175195,0.046090534979424,0.545576407506702,0.352992194275802,0.011079730610471,0.325382018479033,0.27,84.0,D,0.263660017346054,0.089332176929748,Yes,2.0,10.0,0.0003,0.0675,0.0259,0.5063,0.074,0.5796,Basketball (3x3),1840.0,25.2,20.7,6.3,1.2,19.0,52.7,5.1,13.2,10.4,0.8,21.0,57.6,20.6,59911.0,12.8,0.0,14.8,5.0,9.5,27.8,79.2,-0.93,34.9,7.8,0.0,5.78980373,0.0,0.12139999999999998,0.5953313488955038,56.4640037568295
34.698638169749174,-118.76609758220796,52.43673465061317,2021,48.60172867424428,68.54987110947488,278078.0,2215.0,2306.0,Mediterranean,0.3,0.1786,0.1214,0.453599306157849,0.085862966175195,0.046090534979424,0.545576407506702,0.352992194275802,0.011079730610471,0.325382018479033,0.27,84.0,D,0.263660017346054,0.089332176929748,Yes,2.0,10.0,0.0003,0.0675,0.0259,0.5063,0.074,0.5796,Basketball (3x3),5387.0,31.5,8.9,14.1,3.3,13.7,49.4,15.2,11.7,6.5,3.2,6.1,55.1,44.2,80135.0,14.2,5.2,6.2,8.6,22.7,12.5,72.2,3.06,23.3,9.4,0.0,7.211912338,3.5,0.12139999999999998,0.5953313488955038,55.29722555313583
